Begriff,Definition,UUID
"Aufgaben, Rollen, Zuständigkeiten","Aufgaben, Rollen, Zuständigkeiten beschreibt Verfahren und Regelungen zur Aufgabenverteilung in der Informationssicherheit, um die Maßnahmen der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Grundlagen und nachgelagerten Aspekten wie Personalzugang. Schwerpunkte sind u. a.: Aufgaben; Rollen; Rollentrennung.",eee896e5-d143-498b-b22f-c3daf3dea98b
Abnahme,"Abnahme beschreibt die formale Prüfung und Bestätigung, dass gelieferte Produkte oder Dienstleistungen die vereinbarten fachlichen, sicherheitsrelevanten und vertraglichen Anforderungen erfüllen, bevor sie in den Betrieb überführt werden. Es grenzt sich von der Freigabe im Change-Management ab, die den Entscheidungsakt zur Inbetriebnahme regelt, und vom übergreifenden Freigabeverfahren, das Verfahren und Regelungen zum Genehmigungsprozess des Managementsystems beschreibt. Beispiel: formale Abnahmeprotokolle mit Nachweisen zu Sicherheitsmerkmalen, Testberichten und Liefergegenständen.",1e7fd1c1-d45f-48c1-a3db-8ad9c9e9cf52
Administration,"Administration beschreibt Verfahren und Regelungen zum Thema ""Administration"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Schwerpunkte sind u. a.: Grundprinzipien der Systemadministration sowie der Umgang mit privilegierten Berechtigungen.",fa8f30ac-003e-4f35-91d8-7040fb573b6f
Umgang mit Authentisierungsmitteln,Beschreibt Verfahren und Regelungen zum sicheren Umgang mit Authentisierungsmitteln.,c23d7619-f0b2-49ef-92e8-4d5c5b62ead3
Stakeholder,"Die Analyse der interessierten Parteien (Stakeholder) identifiziert systematisch alle Personen, Gruppen oder Institutionen, die ein berechtigtes Interesse an der Informationssicherheit der Institution haben oder von dieser betroffen sind.",4b35f8c9-b6f8-490d-859a-056d56c8c538
Audits,"Die Planung des Auditprogramm muss risikoorientiert erfolgen und dokumentiert werden. Dabei sollte sichergestellt werden, dass die Effektivität und Effizienz aller angewandten Praktiken mindestens einmal sinnvoll geprüft werden. Ein Verfahren zum Aufbau und zur Pflege eines oder mehrerer Auditprogramme muss verankert werden, dass die systematische Planung, Durchführung und Nachverfolgung von Audits ermöglicht.
Auditergebnisse müssen in strukturierten Berichten dokumentiert werden, die eine klare und nachvollziehbare Darstellung der Feststellungen, ihrer Bewertung und der empfohlenen Maßnahmen enthalten. Die Berichte sollten sowohl für das Management als auch für die fachlich Verantwortlichen verständlich sein. Ein einheitliches Bewertungsschema für Feststellungen in Audits sollte verankert werden, um die konsistente Bewertung und Vergleichbarkeit von Auditergebnissen sicherzustellen.",fcc79624-9fa4-4e70-9ad8-89af7dfdc777
Ausfallsicherheit,"Ausfallsicherheit beschreibt die Fähigkeit von Prozessen und Systemarchitekturen, den Betrieb trotz Störungen fortzuführen oder schnell wiederherzustellen, u. a. durch Redundanz, Fehlertoleranz und Resilienz. Sie grenzt sich von Datensicherung ab, die Sicherung und Wiederherstellung von Informationen adressiert, und von Notfallmanagement, das übergreifende Verfahren und Regelungen zum Krisenbetrieb beschreibt. Beispiel: Redundante Auslegung kritischer Komponenten und georedundante Betriebsverfahren.",f05e8f6f-a5f0-41b9-9a37-f859152401aa
Auswahl von Lieferanten,"Auswahl von Lieferanten beschreibt Verfahren und Regelungen zur Beurteilung und Auswahl von Unternehmen als Vertragspartner, einschließlich Eignung, Sicherheit, Compliance und Risiken über den Lebenszyklus. Es grenzt sich von der Auswahl von Produkten und Dienstleistungen ab, die die Bewertung konkreter Leistungen adressiert, sowie von Zusammenarbeit und Kündigung, die die laufende Steuerung bzw. Beendigung der Beziehung regeln. Beispiel: risikobasierte Lieferantenbewertung mit Due-Diligence und Mindestanforderungen.",340195f1-302e-4d8c-bcc5-0975d676d8e7
Auswahl von Produkten und Dienstleistungen - Kündigung,"Auswahl – Kündigung beschreibt Verfahren und Regelungen zur geordneten Beendigung von Leistungen, einschließlich Datenrückgabe, Löschung, Übergang und Risiken durch Abhängigkeiten. Es grenzt sich von der Auswahl (Bewertung vor Vertrag) und der Zusammenarbeit (laufende Steuerung) ab. Beispiel: Exit-Plan mit Datenportabilität, Löschbestätigungen und Entflechtung technischer Zugänge.",32e31c52-6cef-4f86-95e0-84cb877f558a
Auswahl von Produkten und Dienstleistungen - Zusammenarbeit,"Auswahl – Zusammenarbeit beschreibt Verfahren und Regelungen zur Steuerung der laufenden Zusammenarbeit mit Anbietenden, einschließlich Leistungserbringung, Nachweisen, Änderungen und Eskalationen. Es grenzt sich von der initialen Auswahl (Bewertung vor Vertrag) und der Kündigung (Beendigung) ab. Beispiel: regelmäßige Service-Reviews, Berichtswesen und Maßnahmenverfolgung.",70b4f78c-736e-4e2b-b2bf-367e4b41590d
Auswahl von Produkten und Dienstleistungen,"Auswahl von Produkten und Dienstleistungen beschreibt Verfahren und Regelungen zur sicherheits- und compliancegerechten Bewertung konkreter Leistungen und ihrer Konfiguration. Es grenzt sich von der Auswahl von Lieferanten (Unternehmensbewertung) sowie von Zusammenarbeit und Kündigung (Beziehungssteuerung) ab. Beispiel: Sicherheitsanforderungen in Leistungsbeschreibungen, Nachweisprüfung und Auswahlentscheidungen.",96adc7ae-935e-4dae-83ab-07521980bc56
Authentifizierung,"Authentifizierung beschreibt den technischen Nachweis einer Identität gegenüber einem System mittels Faktoren (z. B. Wissen, Besitz, Inhärenz) und Protokollen. Sie grenzt sich von Authentisierung ab, die Verfahren und Regelungen zum Einsatz, zur Verwaltung und zur organisatorischen Nutzung von Authentisierungs­mitteln beschreibt. Beispiel: Einsatz von Mehr-Faktor-Mechanismen und sicheren Protokollen an Systemgrenzen.",618d8261-144b-478d-a003-dde3c830b0e6
Authentisierung,"Authentisierung beschreibt Verfahren und Regelungen zur Bereitstellung, Verwaltung und Nutzung von Authentisierungs­mitteln durch natürliche Personen in der Institution (z. B. Ausgabe, Bindung an Identitäten, Rücknahme). Sie grenzt sich von Authentifizierung ab, die den technischen Nachweis gegenüber Systemen behandelt. Beispiel: Ausgabe- und Widerrufsverfahren für Token oder Smartcards mit Identitätsprüfung.",44f9534d-e992-4c9c-8170-6e32f350cbd7
Bedarfserfassung,"Bedarfserfassung beschreibt Verfahren und Regelungen zum Thema ""Bedarfserfassung"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Grundlagen und nachgelagerten Aspekten wie Auswahl von Lieferanten. Schwerpunkte sind u. a.: Erfassung des Bedarfes; Dokumentation des Rechtsraums und der Datenlokation; Vereinbarung des Rechtsraums und der Datenlokation.",47a13147-f7c8-47cf-ab97-1ba09b52a759
Berechtigungsmanagement,"Berechtigungsmanagement beschreibt Verfahren und Regelungen zur Vergabe, Änderung, Entziehung und regelmäßigen Überprüfung von Zugriffsrechten basierend auf Rollen, Prinzip der minimalen Rechte und Nachvollziehbarkeit. Es grenzt sich vom Identitätsmanagement ab, das den Lebenszyklus der Identitäten (Joiner/Mover/Leaver) behandelt. Beispiel: rollenbasierte Rechte-Modelle, Rezertifizierung und technische Durchsetzung.",a4083c4c-2ba7-4444-be07-6171b5d83f28
Bereitstellung und Betrieb,"Bereitstellung und Betrieb beschreibt Verfahren und Regelungen zum Thema ""Bereitstellung und Betrieb"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Freigabe. Schwerpunkte sind u. a.: Sichere Bereitstellung; Zertifikatsmonitoring.",46880db8-b893-47e3-ae6d-c922054791da
Bereitstellung,"Bereitstellung beschreibt Verfahren und Regelungen zum Thema ""Bereitstellung"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Freigabe. Schwerpunkte sind u. a.: Information betroffener Kreise; Verschlüsselte Bereitstellung; Schrittweiser Rollout.",5dbf36bf-6942-4d96-8337-0b9f93dff9bf
Besondere Aufbauorganisation,"Eine Besondere Aufbauorganisation (BAO) ist eine zeitlich begrenzte, aufwendige und spezialisierte Organisationsstruku in Institutionen, die eingerichtet wird, um umfangreiche, komplexe und nicht alltägliche Notlagen zu bewältigen, welche mit der normalen Alltagsorganisation (Allgemeine Aufbauorganisation, AAO) nicht bewältigt werden können. Sie dient der Koordination von Kräften, der Sicherstellung einheitlicher Führung und der Bewältigung von Problemen durch einen erhöhten Kräftebedarf, lange Einsatzdauer oder verschiedene Zuständigkeiten.",731579c3-e8bb-4b11-b40a-74303d8bbb6e
Datensicherung,"Datensicherung beschreibt Verfahren und Regelungen zur Erstellung, Aufbewahrung, Integritätsprüfung und Wiederherstellung von Sicherungskopien für informationsverarbeitende Systeme und Daten. Sie grenzt sich von Ausfallsicherheit ab, die die kontinuierliche Verfügbarkeit durch Architektur- und Betriebsmaßnahmen adressiert. Beispiel: definierte Backup-Generationen, regelmäßige Restore-Tests und unveränderliche Backup-Ziele.",1078068d-5241-4138-a16e-22d9c44330fc
Dedizierte Systeme,"Dedizierte Systeme beschreibt die Bereitstellung und den Betrieb isolierter Umgebungen für besonders schützenswerte Aufgaben oder Daten mit klaren Grenzen und kontrollierten Schnittstellen. Es grenzt sich von gemeinsamen Arbeitsbereichen ab, die kollaborative Nutzung und geteilte Ressourcen adressieren. Beispiel: getrennte Verwaltungsdomänen, Netzwerksegmentierung und gesicherte Datenpfade.",bf7db888-b581-45a9-bccd-32cc5bdb81b5
Informationsverbund,"Der Informationsverbund umfasst die Gesamtheit aller informationsverarbeitenden Systeme, Prozesse und Komponenten, die innerhalb des festgelegten Geltungsbereichs betrachtet werden. Der Informationsverbund beschreibt damit die tatsächliche Struktur der Informationsverarbeitung in der Institution. In der Praxis kann es in einem Geltungsbereich auch mehrere Informationsverbünde geben.",ecd8ab64-23ff-45b1-bbad-b00c4fe7237a
